City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,48,40,8.0,RU,1708442249
1,stanley,54.868,-1.6985,11.39,82,75,5.66,GB,1708442250
2,adamstown,-25.066,-130.1015,25.72,84,100,5.39,PN,1708442251
3,coyhaique,-45.5752,-72.0662,21.34,56,75,2.57,CL,1708442252
4,ushuaia,-54.8,-68.3,10.79,57,40,9.26,AR,1708442252
5,cabo san lucas,22.8909,-109.9124,22.09,47,0,3.09,MX,1708442157
6,fort bragg,35.139,-79.006,9.0,52,0,4.63,US,1708442253
7,waitangi,-43.9535,-176.5597,13.79,80,100,6.71,NZ,1708442254
8,isafjordur,66.0755,-23.124,1.02,80,20,1.54,IS,1708442255
9,broken hill,-31.95,141.4333,27.64,19,100,4.36,AU,1708442255
10,port-aux-francais,-49.35,70.2167,6.62,84,100,13.59,TF,1708442284
11,lebu,-37.6167,-73.65,16.72,84,99,3.18,CL,1708442285
12,northam,51.0333,-4.2167,13.7,89,100,9.01,GB,1708442285
13,codrington,-38.2667,141.9667,19.63,55,94,2.33,AU,1708442286
14,la passe,45.5549,-0.8967,14.13,66,100,2.21,FR,1708442286
15,maloye ganyushkino,46.6,49.2667,-2.7,95,100,5.7,KZ,1708442287
16,blackmans bay,-43.0167,147.3167,14.74,86,6,0.45,AU,1708442288
17,grand falls-windsor,48.9332,-55.6649,-5.83,70,81,2.68,CA,1708442288
18,arkhangel'sk,64.5401,40.5433,-3.94,100,100,4.0,RU,1708442289
19,kudymkar,59.0173,54.656,-8.49,90,100,4.61,RU,1708442290
20,jamestown,42.097,-79.2353,2.06,64,10,0.89,US,1708442290
21,alice springs,-23.7,133.8833,26.79,47,40,0.0,AU,1708442291
22,pathein,16.7833,94.7333,20.23,74,6,3.14,MM,1708442292
23,port alfred,-33.5906,26.891,25.66,82,64,2.68,ZA,1708442292
24,vilyuchinsk,52.9306,158.4028,-9.85,69,8,16.65,RU,1708442293
25,rikaze,29.25,88.8833,3.28,18,37,3.71,CN,1708442294
26,springbok,-29.6643,17.8865,28.59,21,26,8.19,ZA,1708442237
27,grytviken,-54.2811,-36.5092,3.54,75,16,4.84,GS,1708442295
28,udachny,66.4167,112.4,-26.16,100,92,1.88,RU,1708442296
29,puerto ayora,-0.7393,-90.3518,27.98,95,100,1.34,EC,1708442296
30,edinburgh of the seven seas,-37.0676,-12.3116,16.62,64,84,5.58,SH,1708442297
31,murghob,38.1702,73.9667,-21.24,75,0,3.57,TJ,1708442298
32,mastic beach,40.7668,-72.8521,1.17,50,0,4.02,US,1708442298
33,punta arenas,-53.15,-70.9167,12.06,58,40,11.32,CL,1708442248
34,ribeira grande,38.5167,-28.7,18.22,77,75,7.6,PT,1708442299
35,albany,42.6001,-73.9662,-1.47,54,9,0.89,US,1708442089
36,papatowai,-46.5619,169.4708,11.6,75,69,6.37,NZ,1708442301
37,boa esperanca,-21.09,-45.5658,25.39,75,100,3.69,BR,1708442301
38,nyurba,63.2842,118.3319,-25.49,100,100,1.78,RU,1708442302
39,sao joao da barra,-21.6403,-41.0511,31.05,72,78,2.21,BR,1708442302
40,port elizabeth,-33.918,25.5701,26.29,76,0,6.69,ZA,1708442303
41,bilibino,68.0546,166.4372,-26.76,90,15,3.09,RU,1708442303
42,puerto natales,-51.7236,-72.4875,14.25,58,40,7.2,CL,1708442028
43,wailua homesteads,22.0669,-159.378,21.44,71,100,5.66,US,1708442305
44,san patricio,28.017,-97.5169,20.92,82,0,3.01,US,1708442305
45,hawaiian paradise park,19.5933,-154.9731,18.35,91,20,1.54,US,1708442306
46,talas,38.6908,35.5538,7.37,39,40,0.0,TR,1708442306
47,necochea,-38.5473,-58.7368,28.69,38,61,1.62,AR,1708442307
48,remire-montjoly,4.9167,-52.2667,30.02,62,75,7.2,GF,1708442308
49,tambura,5.6,27.4667,37.85,10,87,2.97,SS,1708442308
50,kanuru,16.2858,81.2546,25.46,75,12,6.67,IN,1708442309
51,kodiak,57.79,-152.4072,5.73,87,100,11.32,US,1708442309
52,afaahiti,-17.75,-149.2833,24.93,82,79,2.26,PF,1708442310
53,nicoya,10.1483,-85.452,28.39,58,40,8.67,CR,1708442311
54,nuuk,64.1835,-51.7216,3.34,32,40,10.8,GL,1708442311
55,yellowknife,62.456,-114.3525,-21.36,84,75,3.6,CA,1708442312
56,cannonvale,-20.2833,148.7,27.66,77,100,4.06,AU,1708442312
57,constantia,44.1833,28.65,6.5,76,87,3.58,RO,1708442093
58,vila velha,-20.3297,-40.2925,29.97,83,100,5.14,BR,1708442313
59,smidovich,48.6,133.8167,-21.94,79,3,5.73,RU,1708442314
60,tiksi,71.6872,128.8694,-35.35,96,41,1.96,RU,1708442315
61,namibe,-15.1961,12.1522,26.65,58,89,5.79,AO,1708442315
62,port mathurin,-19.6833,63.4167,26.41,70,100,10.72,MU,1708442316
63,hayesville,44.986,-122.9829,7.7,88,100,2.06,US,1708442316
64,port lincoln,-34.7333,135.8667,17.37,95,14,5.1,AU,1708442317
65,jobabo,20.9692,-76.2994,20.01,77,100,4.43,CU,1708442318
66,lompoc,34.6391,-120.4579,11.99,89,75,4.63,US,1708442319
67,talnakh,69.4865,88.3972,-17.11,96,100,6.93,RU,1708442319
68,malvan,16.0667,73.4667,26.38,69,1,6.84,IN,1708442320
69,ancud,-41.8697,-73.8203,16.29,81,76,1.56,CL,1708442320
70,vanino,49.0869,140.2543,-21.71,68,3,5.41,RU,1708442195
71,kurumkan,54.3,110.3,-26.6,88,72,2.24,RU,1708442321
72,ginir,7.1333,40.7,24.32,34,76,5.39,ET,1708442322
73,keflavik,64.0049,-22.5624,4.24,87,40,4.12,IS,1708442323
74,las lomas,8.4333,-82.4,30.91,52,100,1.44,PA,1708442263
75,rabo de peixe,37.8,-25.5833,17.77,99,75,3.6,PT,1708442324
76,invercargill,-46.4,168.35,11.68,85,80,6.26,NZ,1708442324
77,san andres,12.5847,-81.7006,26.43,82,46,8.08,CO,1708442325
78,colombo,6.9319,79.8478,28.97,79,1,2.21,LK,1708442166
79,berezovyy,51.6667,135.7,-24.67,68,29,4.4,RU,1708442326
80,hobyo,5.3505,48.5268,26.78,70,94,5.76,SO,1708442327
81,balqash,46.8481,74.995,-22.89,85,5,5.97,KZ,1708442327
82,barrouallie,13.2333,-61.2667,27.79,70,40,4.63,VC,1708442328
83,wum,6.3833,10.0667,34.06,14,68,3.56,CM,1708442328
84,new norfolk,-42.7826,147.0587,15.4,97,0,0.73,AU,1708442329
85,isoka,-10.1606,32.6335,22.51,85,65,2.49,ZM,1708442329
86,al hufuf,25.3646,49.5653,22.19,30,0,2.57,SA,1708442330
87,bethel,41.3712,-73.414,0.01,43,0,1.54,US,1708442331
88,usinsk,65.9939,57.5281,-6.63,93,100,12.07,RU,1708442331
89,kosciusko,33.0576,-89.5876,7.79,72,0,2.01,US,1708442332
90,utrik,11.2278,169.8474,26.71,81,98,7.99,MH,1708442332
91,parintins,-2.6283,-56.7358,32.95,47,15,1.91,BR,1708442333
92,bayji,34.9311,43.487,16.27,54,31,1.38,IQ,1708442333
93,sabang,5.8933,95.3214,27.33,78,92,1.27,ID,1708442166
94,longyearbyen,78.2186,15.6401,-17.09,78,40,5.14,SJ,1708442334
95,porto novo,6.4965,2.6036,31.9,59,43,5.56,BJ,1708442335
96,ibshaway,29.358,30.6814,19.62,31,2,3.75,EG,1708442336
97,beterou,9.1992,2.2586,40.14,10,8,1.1,BJ,1708442337
98,clarence-rockland,45.5501,-75.291,-8.27,65,95,2.05,CA,1708442338
99,fisterra,42.9049,-9.2629,19.3,82,75,3.86,ES,1708442338
100,hlukhiv,51.6782,33.9162,-1.5,74,100,5.72,UA,1708442339
101,shakawe,-18.3667,21.85,35.89,21,11,3.13,BW,1708442340
102,walvis bay,-22.9575,14.5053,17.83,64,95,9.27,NA,1708442214
103,inarajan village,13.2736,144.7484,26.08,84,25,10.1,GU,1708442342
104,ta`u,-14.2336,-169.5144,28.21,81,100,8.7,AS,1708442342
105,valparaiso,-33.0393,-71.6273,23.13,68,40,4.12,CL,1708442290
